Background Characteristic,Place of Delivery,,,,
Mother's Age at Birth,At Health Facility,At Home,Don't Know/ Missing,Total,Number of births
<20,73.6,25.8,0.6,100,501
20-34,73.4,25.8,0.8,100,2706
35+,61.3,37.6,1.2,100,252
,,,,,
Birth Order,,,,,
First,86.9,12.7,0.4,100,1912
2 to 3,73.5,25.8,0.7,100,1495
4 to 5,57.6,40.7,1.6,100,435
6+,36.8,61.7,1.4,100,337
,,,,,
Residence,,,,,
Urban,80.2,19.1,0.6,100,2162
Rural,59.7,39.2,1.1,100,1297
,,,,,
Region,,,,,
West,86.6,12.7,0.7,100,1031
South,69.2,29.8,1,100,490
Central,83.3,16.3,0.3,100,795
North,83.7,15.5,0.8,100,271
East,44.4,54.4,1.2,100,871
,,,,,
Education,,,,,
No education,45.5,54.4,1.1,100,936
Primary/Secondary,80.4,18.8,0.8,100,2118
Secondary + ,96.2,3.8,9,100,405
,,,,,
Antenatal Care Visits,,,,,
None,45.4,54.1,0.6,100,1090
1-3 visits,74.8,24.8,0.4,100,859
4+ visits,91.9,7.9,0.2,100,1451
Don’t know,64.4,7.6,28,100,59
,,,,,
Total,72.5,26.7,0.8,100,3459